0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:26 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:32 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:15 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet?ordernumber=11364279424 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:36 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18982
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:37 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:37 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:37 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:38 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18982
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:38 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:38 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:38 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:45:40 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:40 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19002
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:40 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:40 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:40 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:42 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19002
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:42 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:42 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:42 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:44 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:46 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19002
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:46 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:46 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:48:46 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:54:28 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:54:29 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19002
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:54:30 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:54:30 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:54:30 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:55:23 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:56:03 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19002
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:56:03 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:56:03 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:56:03 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:57:53 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19086
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:57:53 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:57:53 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:57:53 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:18 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19080
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:19 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:19 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:19 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:20 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:36 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19080
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:37 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:37 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:59:37 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:00:25 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:00:31 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet?ordernumber=10706972421 HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:06:21 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19080
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:06:21 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:06:21 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:06:21 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:07:39 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:07:44 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19080
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:07:45 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:07:45 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:07:45 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:07:49 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:12 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19080
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:12 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:12 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:12 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:15 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:18 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 19080
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:18 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:18 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:08:18 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:19:43 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet?ordernumber=10706972421 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:19:53 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18932
0:0:0:0:0:0:0:1 - - [24/Jun/2018:16:19:53 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 75
